"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","2.2µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"J1","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"L1","1","2.2µH","","","","Inductor_SMD:L_0805_2012Metric","~"
"LD1,LD2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"R1,R2","2","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R_ICHG1","1","1.5kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","NPM1100-QDAB-R7","","","","NPM1100-QDAB-R7:QFN50P400X400X90-25N",""
